Company,Symbol,Scrip-code,Sector,Industry,Group,Face Value,ISIN No,Issuer Name
Ucal  Ltd,UCAL,500464,Equity,Active,B ,10,INE139B01016,UCAL LIMITED
Harrisons Malayalam Ltd,HARRMALAYA,500467,Equity,Active,B ,10,INE544A01019,Harrisons Malayalam Ltd.
Federal Bank Ltd,FEDERALBNK,500469,Equity,Active,A ,2,INE171A01029,Federal Bank Ltd.
Tata Steel Ltd,TATASTEEL,500470,Equity,Active,A ,1,INE081A01020,TATA STEEL LIMITED
SKF India Ltd,SKFINDIA,500472,Equity,Active,A ,10,INE640A01023,SKF India Ltd.
Ashok Leyland Ltd,ASHOKLEY,500477,Equity,Active,A ,1,INE208A01029,Ashok Leyland Ltd.
Cummins India Ltd,CUMMINSIND,500480,Equity,Active,A ,2,INE298A01020,Cummins India Ltd.
Tata Communications Ltd,TATACOMM,500483,Equity,Active,A ,10,INE151A01013,Tata Communications Limited
Abbott India Ltd,ABBOTINDIA,500488,Equity,Active,A ,10,INE358A01014,Abbott India Ltd.
Bajaj Holdings & Investment Ltd,BAJAJHLDNG,500490,Equity,Active,A ,10,INE118A01012,Bajaj Holdings & Investment Limited
Bharat Forge Ltd,BHARATFORG,500493,Equity,Active,A ,2,INE465A01025,Bharat Forge Ltd
Escorts Kubota Ltd,ESCORTS,500495,Equity,Active,A ,10,INE042A01014,Escorts Kubota Limited
Hindustan Motors Ltd,HINDMOTORS,500500,Equity,Active,X ,5,INE253A01025,Hindustan Motors Ltd.
Mahindra & Mahindra Ltd,M&M,500520,Equity,Active,A ,5,INE101A01026,Mahindra & Mahindra Ltd.
Bosch Ltd,BOSCHLTD,500530,Equity,Active,A ,10,INE323A01026,Bosch Ltd
Premier Ltd,PREMIER,500540,Equity,Active,T ,10,INE342A01018,Premier Limited
Bharat Petroleum Corporation Ltd,BPCL,500547,Equity,Active,A ,10,INE029A01011,Bharat Petroleum Corpn. Ltd.
Siemens Ltd,SIEMENS,500550,Equity,Active,A ,2,INE003A01024,Siemens Ltd.
Tata Motors Passenger Vehicles Ltd,TMPV,500570,Equity,Active,A ,2,INE155A01022,TATA MOTORS PASSENGER VEHICLES LIMITED
Voltas Ltd,VOLTAS,500575,Equity,Active,A ,1,INE226A01021,Voltas Ltd.
Great Eastern Shipping Company Ltd,GESHIP,500620,Equity,Active,A ,10,INE017A01032,Great Eastern Shipping Co. Ltd.
